date,value,is_forecast
2025-11-16,10.2833549303673,TRUE
2025-11-17,10.2833549303673,TRUE
2025-11-18,10.2833549303673,TRUE
2025-11-19,10.2833549303673,TRUE
2025-11-20,10.2833549303673,TRUE
2025-11-21,10.2833549303673,TRUE
2025-11-22,10.2833549303673,TRUE
2025-11-23,10.2833549303673,TRUE
2025-11-24,10.2833549303673,TRUE
2025-11-25,10.2833549303673,TRUE
2025-11-26,10.2833549303673,TRUE
2025-11-27,10.2833549303673,TRUE
2025-11-28,10.2833549303673,TRUE
2025-11-29,10.2833549303673,TRUE
2025-11-30,10.2833549303673,TRUE
2025-12-01,10.2889887936434,TRUE
2025-12-02,10.2889887936434,TRUE
2025-12-03,10.2889887936434,TRUE
2025-12-04,10.2889887936434,TRUE
2025-12-05,10.2889887936434,TRUE
2025-12-06,10.2889887936434,TRUE
2025-12-07,10.2889887936434,TRUE
2025-12-08,10.2889887936434,TRUE
2025-12-09,10.2889887936434,TRUE
2025-12-10,10.2889887936434,TRUE
2025-12-11,10.2889887936434,TRUE
2025-12-12,10.2889887936434,TRUE
2025-12-13,10.2889887936434,TRUE
2025-12-14,10.2889887936434,TRUE
2025-12-15,10.2889887936434,TRUE
2025-12-16,10.2889887936434,TRUE
2025-12-17,10.2889887936434,TRUE
2025-12-18,10.2889887936434,TRUE
2025-12-19,10.2889887936434,TRUE
2025-12-20,10.2889887936434,TRUE
2025-12-21,10.2889887936434,TRUE
2025-12-22,10.2889887936434,TRUE
2025-12-23,10.2889887936434,TRUE
2025-12-24,10.2889887936434,TRUE
2025-12-25,10.2889887936434,TRUE
2025-12-26,10.2889887936434,TRUE
2025-12-27,10.2889887936434,TRUE
2025-12-28,10.2889887936434,TRUE
2025-12-29,10.2889887936434,TRUE
2025-12-30,10.2889887936434,TRUE
2025-12-31,10.2889887936434,TRUE
2026-01-01,10.2942000875657,TRUE
2026-01-02,10.2942000875657,TRUE
2026-01-03,10.2942000875657,TRUE
2026-01-04,10.2942000875657,TRUE
2026-01-05,10.2942000875657,TRUE
2026-01-06,10.2942000875657,TRUE
2026-01-07,10.2942000875657,TRUE
2026-01-08,10.2942000875657,TRUE
2026-01-09,10.2942000875657,TRUE
2026-01-10,10.2942000875657,TRUE
2026-01-11,10.2942000875657,TRUE
2026-01-12,10.2942000875657,TRUE
2026-01-13,10.2942000875657,TRUE
2026-01-14,10.2942000875657,TRUE
2026-01-15,10.2942000875657,TRUE
2026-01-16,10.2942000875657,TRUE
2026-01-17,10.2942000875657,TRUE
2026-01-18,10.2942000875657,TRUE
2026-01-19,10.2942000875657,TRUE
2026-01-20,10.2942000875657,TRUE
2026-01-21,10.2942000875657,TRUE
2026-01-22,10.2942000875657,TRUE
2026-01-23,10.2942000875657,TRUE
2026-01-24,10.2942000875657,TRUE
2026-01-25,10.2942000875657,TRUE
2026-01-26,10.2942000875657,TRUE
2026-01-27,10.2942000875657,TRUE
2026-01-28,10.2942000875657,TRUE
2026-01-29,10.2942000875657,TRUE
2026-01-30,10.2942000875657,TRUE
2026-01-31,10.2942000875657,TRUE
2026-02-01,10.2990205070567,TRUE
2026-02-02,10.2990205070567,TRUE
2026-02-03,10.2990205070567,TRUE
2026-02-04,10.2990205070567,TRUE
2026-02-05,10.2990205070567,TRUE
2026-02-06,10.2990205070567,TRUE
2026-02-07,10.2990205070567,TRUE
2026-02-08,10.2990205070567,TRUE
2026-02-09,10.2990205070567,TRUE
2026-02-10,10.2990205070567,TRUE
2026-02-11,10.2990205070567,TRUE
2026-02-12,10.2990205070567,TRUE
2026-02-13,10.2990205070567,TRUE
2026-02-14,10.2990205070567,TRUE
2026-02-15,10.2990205070567,TRUE
2026-02-16,10.2990205070567,TRUE
2026-02-17,10.2990205070567,TRUE
2026-02-18,10.2990205070567,TRUE
2026-02-19,10.2990205070567,TRUE
2026-02-20,10.2990205070567,TRUE
2026-02-21,10.2990205070567,TRUE
2026-02-22,10.2990205070567,TRUE
2026-02-23,10.2990205070567,TRUE
2026-02-24,10.2990205070567,TRUE
2026-02-25,10.2990205070567,TRUE
2026-02-26,10.2990205070567,TRUE
2026-02-27,10.2990205070567,TRUE
2026-02-28,10.2990205070567,TRUE
2026-03-01,10.3034793697528,TRUE
2026-03-02,10.3034793697528,TRUE
2026-03-03,10.3034793697528,TRUE
2026-03-04,10.3034793697528,TRUE
2026-03-05,10.3034793697528,TRUE
2026-03-06,10.3034793697528,TRUE
2026-03-07,10.3034793697528,TRUE
2026-03-08,10.3034793697528,TRUE
2026-03-09,10.3034793697528,TRUE
2026-03-10,10.3034793697528,TRUE
2026-03-11,10.3034793697528,TRUE
2026-03-12,10.3034793697528,TRUE
2026-03-13,10.3034793697528,TRUE
2026-03-14,10.3034793697528,TRUE
2026-03-15,10.3034793697528,TRUE
2026-03-16,10.3034793697528,TRUE
2026-03-17,10.3034793697528,TRUE
2026-03-18,10.3034793697528,TRUE
2026-03-19,10.3034793697528,TRUE
2026-03-20,10.3034793697528,TRUE
2026-03-21,10.3034793697528,TRUE
2026-03-22,10.3034793697528,TRUE
2026-03-23,10.3034793697528,TRUE
2026-03-24,10.3034793697528,TRUE
2026-03-25,10.3034793697528,TRUE
2026-03-26,10.3034793697528,TRUE
2026-03-27,10.3034793697528,TRUE
2026-03-28,10.3034793697528,TRUE
2026-03-29,10.3034793697528,TRUE
2026-03-30,10.3034793697528,TRUE
2026-03-31,10.3034793697528,TRUE
2026-04-01,10.3076037943138,TRUE
2026-04-02,10.3076037943138,TRUE
2026-04-03,10.3076037943138,TRUE
2026-04-04,10.3076037943138,TRUE
2026-04-05,10.3076037943138,TRUE
2026-04-06,10.3076037943138,TRUE
2026-04-07,10.3076037943138,TRUE
2026-04-08,10.3076037943138,TRUE
2026-04-09,10.3076037943138,TRUE
2026-04-10,10.3076037943138,TRUE
2026-04-11,10.3076037943138,TRUE
2026-04-12,10.3076037943138,TRUE
2026-04-13,10.3076037943138,TRUE
2026-04-14,10.3076037943138,TRUE
2026-04-15,10.3076037943138,TRUE
2026-04-16,10.3076037943138,TRUE
2026-04-17,10.3076037943138,TRUE
2026-04-18,10.3076037943138,TRUE
2026-04-19,10.3076037943138,TRUE
2026-04-20,10.3076037943138,TRUE
2026-04-21,10.3076037943138,TRUE
2026-04-22,10.3076037943138,TRUE
2026-04-23,10.3076037943138,TRUE
2026-04-24,10.3076037943138,TRUE
2026-04-25,10.3076037943138,TRUE
2026-04-26,10.3076037943138,TRUE
2026-04-27,10.3076037943138,TRUE
2026-04-28,10.3076037943138,TRUE
2026-04-29,10.3076037943138,TRUE
2026-04-30,10.3076037943138,TRUE
2026-05-01,10.3114188653574,TRUE
2026-05-02,10.3114188653574,TRUE
2026-05-03,10.3114188653574,TRUE
2026-05-04,10.3114188653574,TRUE
2026-05-05,10.3114188653574,TRUE
2026-05-06,10.3114188653574,TRUE
2026-05-07,10.3114188653574,TRUE
2026-05-08,10.3114188653574,TRUE
2026-05-09,10.3114188653574,TRUE
2026-05-10,10.3114188653574,TRUE
2026-05-11,10.3114188653574,TRUE
2026-05-12,10.3114188653574,TRUE
2026-05-13,10.3114188653574,TRUE
2026-05-14,10.3114188653574,TRUE
2026-05-15,10.3114188653574,TRUE
2026-05-16,10.3114188653574,TRUE
2026-05-17,10.3114188653574,TRUE
2026-05-18,10.3114188653574,TRUE
2026-05-19,10.3114188653574,TRUE
2026-05-20,10.3114188653574,TRUE
2026-05-21,10.3114188653574,TRUE
2026-05-22,10.3114188653574,TRUE
2026-05-23,10.3114188653574,TRUE
2026-05-24,10.3114188653574,TRUE
2026-05-25,10.3114188653574,TRUE
2026-05-26,10.3114188653574,TRUE
2026-05-27,10.3114188653574,TRUE
2026-05-28,10.3114188653574,TRUE
2026-05-29,10.3114188653574,TRUE
2026-05-30,10.3114188653574,TRUE
2026-05-31,10.3114188653574,TRUE
